id,cluster_id,screen_name,name,clean_description,followers_count,friends_count,default_profile,default_profile_image,verified,created_at,location,url,profile_banner_url,profile_image_url_https,user_age,follower_growth_rate,friends_growth_rate,hashtag_in_description,numbers_in_description,favourites_count,status_count,media_count,listed_count,no_type_tweet,no_type_retweet_with_comment,no_type_reply,mean_no_media_per_tweet,mean_no_words,no_languages,mean_no_hashtags,mean_favourites_per_tweet,time_between_tweets,tweet_frequency,min_tweets_per_hour,min_tweets_per_day,max_tweets_per_hour,max_tweets_per_day,max_occurence_of_same_gap,unique_mention_rate_per_tweet,mean_user_mentions_per_tweet,retweet_as_tweet_rate,no_retweet_tweets,mean_retweets_per_tweet,Botometer Score,tagger's name 1,prob1,reason 1,tagger's name2,prob 2,reason 2,"آیا دنبال‌شوندگان/دنبال‌کننده‌ها غیرعادی‌اند؟نسبت غیرمنطقی، فالوورهای فیک (ویژگی‌های شبکه‌ای و تعاملات (Network Features)
الگوهای ارتباطی و شبکه اجتماعی حساب‌ها:
•        نسبت فالوورها به فالووینگ:
o        دنبال‌کردن هزاران نفر و داشتن تعداد کمی فالوور.
o        یا برعکس: داشتن تعداد زیاد فالوور اما بدون تعامل واقعی.
•        خوشه‌های هماهنگ: چند حساب با هم توییت مشابه منتشر می‌کنند یا همزمان لایک/ری‌توئیت می‌کنند.
•        شبکه‌های مشابه: داشتن مجموعه‌ای مشابه از فالوورها یا فالووینگ‌ها.
•        Retweet farms: حساب‌هایی که صرفاً ری‌توئیت می‌کنند تا ترند مصنوعی بسازند.)","آیا محتوای توییت‌ها خودکار به‌نظر می‌رسد؟تکراری، تبلیغاتی، ماشینی (•        تکرار متن: پست‌های یکسان یا بسیار شبیه بین چند اکانت.
•        الگوهای ثابت: همه توییت‌ها یک ساختار دارند (لینک + هشتگ + ایموجی).
•        غلبه لینک: درصد زیادی از توییت‌ها شامل لینک هستند.
•        هشتگ‌های پرکاربرد: استفاده از ترندها برای جلب توجه، حتی اگر بی‌ارتباط باشند.
•        منشن گسترده: منشن کردن تعداد زیادی کاربر برای تبلیغ یا اسپم.
•        کیفیت زبانی:
o        زبان ماشینی یا ترجمه‌شده خودکار.
o        خطاهای عجیب یا یکنواختی بیش‌ازحد.
•        تنوع پایین واژگان: استفاده مکرر از واژه‌ها و عبارت‌های تکراری.)","آیا پروفایل واقعی به‌نظر می‌رسد؟عکس واقعی، بیوگرافی کامل، نام کاربری (
•        نام کاربری(username/handle):
o        وجود رشته‌های عددی طولانی (user12345678)
o        شباهت زیاد نام‌ها در چند حساب مختلف مثلاً iran_news01, iran_news02، ….
o        نام‌هایی بی‌معنی یا تصادفی (abc_45_klo)
•        تصویر پروفایل:
o        استفاده از تصویر پیش‌فرض یا avatar عمومی
o        تصاویر دزدیده‌شده یا تکراری می‌توان با جستجوی معکوس گوگل بررسی کرد.
o        کیفیت پایین یا غیرمرتبط (مثلاً لوگوی تصادفی).
•        بیو (Bio):
o        بیوهای خالی یا خیلی کوتاه.
o        بیوهای تکراری بین چند حساب (کپی/پیست).
o        استفاده از کلمات کلیدی مثل bot, feed, auto، یا فقط هشتگ.
•        تاریخ ایجاد حساب:
o        حساب‌های خیلی جدید که در همان روز/هفته صدها توییت می‌زنند.
o        موجی از حساب‌های جدید در بازه زمانی کوتاه.
•        لینک‌ها در پروفایل:
o        لینک‌های کوتاه‌شده (tinyurl) که مقصدشان تبلیغی یا مشکوک است.
o        تکرار یک دامنه در پروفایل چند حساب مشابه.)","آیا رفتار زمانی توییت‌ها طبیعی است؟ارسال نامنظم، در ساعات مختلف (فرکانس بالا: ارسال ده‌ها یا صدها توییت در روز.
•	پایداری زمانی: فعالیت ۲۴/۷ بدون استراحت (انسان نیاز به خواب دارد).
•	فواصل منظم: توییت‌ها دقیقاً در بازه‌های منظم (مثلاً هر 10 دقیقه).
•	انفجار فعالیت Burstiness : ناگهان در مدت کوتاه صدها پست منتشر می‌کنند.
•	زمان‌بندی نامعمول: کاربر فرضی ایرانی که همیشه در نیمه‌شب ایران فعال است.)","آیا تعامل با دیگران وجود دارد؟ریپلای، منشن، گفت‌وگو با کاربران (ویژگی‌های رفتاری در مکالمه (Conversational Features)
•        پاسخ‌دهی کم: حسابی که تقریباً هیچوقت جواب مستقیم نمی‌دهد.
•        پاسخ‌های ماشینی: جملات کلیشه‌ای و تکراری مثل ""Great post!"" یا ""Nice info""
•        تأخیر یکنواخت در پاسخ: مثلاً همیشه ۳ ثانیه بعد جواب می‌دهد.
•        نبود تعامل شخصی: اشاره نکردن به تجربیات فردی یا مکالمات واقعی.)",آیا توییت‌ها متنوع و طبیعی‌اند؟زبان انسانی، نظر شخصی، طنز، تعامل,آیا فرکانس استفاده از یک هشتگ زیاد است,LLM(ChatGPT),LLM(Gemini),Grok 4,following,description,fast_followers_count,has_custom_timelines,is_translator,normal_followers_count,pinned_tweet_ids_str,possibly_sensitive,profile_interstitial_type,statuses_count,translator_type,want_retweets,last_updated,verified_type
617853906,3,PatriotPointman,Brett Murphy,Writer & Poet | Videos & Live Streams | America First Patriot | Honoring My Son's Legacy Through Service,159406,39400,0,FALSE,0,2012-06-25T04:38:20+00:00,California,https://t.co/0paExYfxPr,https://pbs.twimg.com/profile_banners/617853906/1731850865,https://pbs.twimg.com/profile_images/1868212409107951616/hapeFoha_normal.jpg,4667,34.15599,8.442254,0,0,42127,2427479,170586,450,1,0,0,0,28,1,0,12,0,520.1369,1,1,1,1,1,0,0,2427478,2427478,6,0.9/5,HelenAzad,0.8,اکانتی با این یوزر نیم پیدا نشد.,,,,,,,,,,,0.5,,,FALSE,Writer & Poet | Videos & Live Streams | America First Patriot | Honoring My Son's Legacy Through Service,0,TRUE,FALSE,159406,['1888865329318924426'],FALSE,,2427479,none,FALSE,2025-02-12T08:20:10.201652,
1.58E+18,4,IranZiba1401,Free Iran,"@PahlaviReza, 
 @PahlaviComms, 
 @ShahbanouFarah,",2020,1938,1,FALSE,0,2022-10-12T00:53:19+00:00,,,https://pbs.twimg.com/profile_banners/1579998556026724352/1712600930,https://pbs.twimg.com/profile_images/1689021554359930882/sS8j60U5_normal.jpg,906,2.229581,2.139073,0,1,49690,381563,9921,2,1,1,1,1,17.5,2,2.5,14,12948214,421.1512,0,0,2,2,2,0.5,0.5,381560,381560,7.75,2.0/5,HelenAzad,0.8,اکانتی با این یوزر نیم پیدا نشد.,,,,,,,,,,,0,,,,"💚🦁🤍🌞❤️

@PahlaviReza, https://t.co/dlBsD3cnjD
@PahlaviComms, https://t.co/3qKrOKvVrr
@ShahbanouFarah, https://t.co/ZO2yxTl2G2",0,FALSE,FALSE,2020,[],FALSE,,381563,none,FALSE,2025-02-10T15:57:23.208884,
1.70764E+18,4,KathyMobarez,Kathy Mobarez,,3586,1672,1,FALSE,0,2023-09-29T06:22:15+00:00,,,,https://pbs.twimg.com/profile_images/1707642573383139328/6QqsNUox_normal.jpg,554,6.472924,3.018051,0,0,310972,198876,6172,4,1,55,969,0.382107,10.19565,9,1.95903,15.61538,4023.541,358.9819,0,0,64,126,172,0.689799,1.472408,197851,197851,3.061873,Error - Timeout,HelenAzad,0.8,پروفایل شخص واقعیست./ریتوییت ها همگی دارای کلمات خاص و هشتگ های خاصی هستند./ ریتوییت توییت های تکراری/ کامنت های بسیار کم و به صورت جنرالی دیده شد که می تواند کار بات باشد./ توییتی از خود فرد در توییت های اولیه دیده نشد و تعداد کامنت ها نسبت به ریتوییت ها بسیار محدود/ همگی درباره ی یک موضوع/ تعداد توییت ها در یک ساعت بسیار زیاد هستنند.,,,,,,,,,,,0.3,,,FALSE,,0,FALSE,FALSE,3586,['1776941579510440391'],FALSE,,198876,none,FALSE,2025-02-10T21:49:58.869236,
1.71608E+18,4,MIIran20194,دخترایران از نسل رستم,"من دخترایران 
 از نسل رستم
 میجنگم برای ایران آباد آزاد
 برای ایران پادشاهی
 تاابد جاویدشاه",917,558,1,FALSE,0,2023-10-22T13:33:33+00:00,ایران پادشاهی آرزومه.جاویدشاه,,https://pbs.twimg.com/profile_banners/1716084989165522944/1710310145,https://pbs.twimg.com/profile_images/1844451733797220399/9M7oOIr-_normal.jpg,531,1.72693,1.050847,0,0,68844,189003,1971,1,707,451,37,0.493489,33.05826,3,2.989719,3.864976,4105.823,355.9379,0,0,34,104,269,0.023304,0.037697,265.6407355,187808,1.204935,Error - Timeout,HelenAzad,0.8,توییت های فرد را می تواند یک ربات نوشته باشد./ بیشتر توییت ها ریتوییت با هشتگ ها و کلمات خاص هستند. تعداد ویوها عموموا کمتر از 70 تا در کامنت ها و توییت های شخص هست./ تعداد ریتوییت ها در یک ساعت بسیار بالاست./,,,,,,,,,,,0,,,FALSE,"من دخترایران 
از نسل رستم
میجنگم برای ایران آباد آزاد
برای ایران پادشاهی
تاابد جاویدشاه",0,FALSE,FALSE,917,[],FALSE,,189003,none,FALSE,2025-02-10T21:49:36.562860,
1.68461E+18,4,Artemis540721,👑Artemis👑,تا ابد و یک روز جاوید شاه،پاینده ایران,1052,266,1,FALSE,0,2023-07-27T17:19:20+00:00,Kingdom of Iran,,https://pbs.twimg.com/profile_banners/1684614288378298375/1734274931,https://pbs.twimg.com/profile_images/1684616129317068800/mmftMiaT_normal.jpg,618,1.702265,0.430421,0,0,244259,207701,1290,2,7,100,46,1.698795,26.99398,5,2.650602,48.45181,311506,336.0858,0,0,11,19,14,0.283133,0.668675,29649.71429,207548,22.94578,Error - Timeout,HelenAzad,0.9,موضوع توییت ها یکی است./ در اغلب ریتوییت ها کلمات خاص و هشتگ های تکراری دیده می شود./.انگار همه ی توییت های یه سری اکانت خاص هی ریتوییت میشن./ در توییت های اولیه توییت و کامنتی از اکانت دیده نمی شود و اغلب ریتوییت هستند./ تعداد ریتوییت ها بسیار بالاست./ لحن انسانی و فحاشی دیده نمی شود.,,,,,,,,,,,0,,,FALSE,تا ابد و یک روز جاوید شاه،پاینده ایران,0,FALSE,FALSE,1052,[],FALSE,,207701,none,FALSE,2025-02-10T21:50:18.338625,
1.80045E+18,4,tifraghe_n,Tifraghe,parody and political satire,2838,1826,1,FALSE,0,2024-06-11T08:55:49+00:00,مناطق محروم و کم برخوردار,,https://pbs.twimg.com/profile_banners/1800451663964016640/1718186039,https://pbs.twimg.com/profile_images/1882494952661504000/kSaND6nn_normal.jpg,298,9.52349,6.127517,0,0,120843,95278,1304,0,58,37,10,0.786325,25.17949,3,1.692308,145.5128,165330.2,319.7248,0,0,2,6,13,0.17094,0.205128,1640.913793,95173,40.90598,Error - Timeout,HelenAzad,0.9,زمانبندی بین توییت ها بسیار مشکوک و پشت هم است. / اکانتی با این اسم دیگر وجود ندارد./ ,,,,,,,,,,,0.5,,,FALSE,parody and political satire,0,FALSE,FALSE,2838,['1885274114782306472'],FALSE,,95278,none,FALSE,2025-02-10T21:54:50.671361,
1.59589E+18,4,EstouComIsrael,Leoa de Judá 🇮🇱 🇧🇷 🇵🇹,"Podem calar a minha voz! Mas não podem matar o meu Espírito. Pois em verdade vos digo: - Não mais vivo eu, mas Cristo vive em mim!",8149,8860,1,FALSE,0,2022-11-24T21:29:02+00:00,,,https://pbs.twimg.com/profile_banners/1595892141871583232/1738542883,https://pbs.twimg.com/profile_images/1889006423335383043/qRi-BlCz_normal.jpg,863,9.442642,10.26651,0,0,317045,265689,2441,5,0,0,1,0,16,1,1,0,0,307.8667,1,1,1,1,1,1,1,265688,265688,0,2.7/5,HelenAzad,0.9,زبان فارسی نیست./ تعداد توییت ها در روز بسیار بالاست و منطقی نیست و پیج در مورد موضوعات سیاسی است,,,,,,,,,,,0.5,,,FALSE,"Podem calar a minha voz! Mas não podem matar o meu Espírito. Pois em verdade vos digo: -  Não mais vivo eu, mas Cristo vive em mim!",0,TRUE,FALSE,8149,['1874298871725387781'],FALSE,,265689,none,FALSE,2025-02-11T01:09:00.174017,
177584156,2,jjauthor,Janie Johnson - America is Exceptional,"THINK AMERICA GREAT! Conservatism. Patriotism. Optimism. Don't Take My Lemonade Stand, Uncommon Sense,0 Slogans. God. Country. Family.",218955,73207,0,FALSE,0,2010-08-12T14:41:59+00:00,"Nevada, USA",https://t.co/T5sejzS9hR,https://pbs.twimg.com/profile_banners/177584156/1597596632,https://pbs.twimg.com/profile_images/1490814036027445248/Vs3YvHy5_normal.jpg,5350,40.92617,13.68355,0,1,287709,1574390,89818,2173,0,1,0,0,2,1,0,360,0,294.2785,1,1,1,1,1,0,0,1574389,1574389,284,1.1/5,HelenAzad,0.9,ریتوییت در مورد موضوعات مختلف و در تعداد بسیار بالا/ در توییت های اولیه کامنت و کوت از این فرد دیده نشد./ تعداد فالور و توییت توییت ها بسیار بالاست.,,,,,,,,,,,0.5,,,FALSE,"THINK AMERICA GREAT! Conservatism. Patriotism. Optimism. Don't Take My Lemonade Stand, Uncommon Sense,0 Slogans. God. Country. Family. 🇺🇸  https://t.co/j92pcSV8fv",0,TRUE,FALSE,218955,['1809686871087448083'],FALSE,,1574390,none,FALSE,2025-02-11T00:15:39.933490,
1.57186E+18,4,Lillian3003,lillian,,1477,1186,1,FALSE,0,2022-09-19T14:16:27+00:00,,,https://pbs.twimg.com/profile_banners/1571864502647259136/1712926223,https://pbs.twimg.com/profile_images/1855693533417451520/AsikgSZU_normal.jpg,929,1.589882,1.276642,0,0,129193,271606,41943,5,3,0,0,1.2,24.6,1,1.2,252.6,11565769,292.3638,0,0,2,2,3,0,0,90534.33333,271603,70.2,2.3/5,HelenAzad,0.2,موضوع اغلب یکیست/ در کامنت ها فحاشی و لحن انسانی نیز دیده می شود./  صحبت در مورد روزمره و تعاملات انسانی مپل آدرس پیج و .. نیز دیده می شود./ تعداد زیاذ توییت و ریتوییت ها کمی مشکوک است./ ,,,,,,,,,,,0,,,FALSE,,0,TRUE,FALSE,1477,['1704994682713833586'],FALSE,,271606,none,FALSE,2025-02-11T01:06:33.046412,
1.8597E+18,4,amiralikohrang,koohrang,کیان پیرفلککوهرنگ،زردکوه،کارون...سابق.کفیرآریل,164,91,1,FALSE,0,2024-11-21T20:42:05+00:00,,,https://pbs.twimg.com/profile_banners/1859698755894706176/1732298868,https://pbs.twimg.com/profile_images/1860022261245194240/gwPN21n0_normal.jpg,135,1.214815,0.674074,0,0,32073,36958,114,1,1,0,8,1.6,10.1,2,2.1,3.7,417537.8,273.763,0,0,2,2,2,0.7,1.2,36949,36949,0.5,Error - Timeout,HelenAzad,0.8,کامنت و کوتی در توییت های اولیه به چشم نمی خورد./ موضوع ریتوییت های همگی یکیست./ ریتوییت ها همگی دارای کلمات خاص یا هشتگ های خاص هستند./ تعداد توییت ها در روز بسیار بالاست و کمی مشکوک است./,,,,,,,,,,,0,,,,🦁کیان پیرفلک🌞کوهرنگ،زردکوه،کارون...سابق.🧡کفیر🎗آریل🧡,0,FALSE,FALSE,164,[],FALSE,,36958,none,FALSE,2025-02-10T22:56:11.454407,
