screen_name,برچسب نهایی,has_profile,has_tweet,has_temporal,has_complete_temporal,has_graph,modality_pattern
ahmad_313m,human(2),True,True,True,True,False,Profile + Tweet + Temporal
samsarbazvatan,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
cryptosamz,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
sepiedhia,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
777Masiha,bot(1),True,True,False,False,False,Profile + Tweet
unikador,human(2),True,True,False,False,False,Profile + Tweet
ServinPooryamin,human(2),True,True,True,True,False,Profile + Tweet + Temporal
HAXTAX0,can’t find,True,True,True,True,False,Profile + Tweet + Temporal
mostafamehraeen,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
shahira60210003,bot(1),True,True,False,False,False,Profile + Tweet
ggehhry2,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
AngelOnDuty06,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Alex47778556934,human(2),True,True,False,False,True,Profile + Tweet + Graph
NaaserXA,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
MuradyDiako,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
DamDami,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Hosseinla1,human(2),True,True,True,True,False,Profile + Tweet + Temporal
etelaf10,News Agent(3),True,True,True,True,True,Profile + Tweet + Temporal + Graph
hoda2728,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Verethragnan,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Mahnush_A,human(2),True,True,True,True,False,Profile + Tweet + Temporal
kaykhosrow5,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Roshanaeii,human(2),True,True,True,True,False,Profile + Tweet + Temporal
keyonek1,human(2),True,True,False,False,False,Profile + Tweet
AriaOmid,human(2),True,True,True,True,False,Profile + Tweet + Temporal
REGIME_CHANGE03,News Agent(3),True,True,True,True,True,Profile + Tweet + Temporal + Graph
hossein_d15,human(2),True,True,True,True,False,Profile + Tweet + Temporal
beni_ta1,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Marie36822764,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
MazdakBAMDADAN2,human(2),True,True,True,True,False,Profile + Tweet + Temporal
AlinejadMasih,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
PIISHGOO,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
JananKhorram,human(2),True,True,False,False,True,Profile + Tweet + Graph
JBehieh,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
nimania,human(2),True,True,True,True,False,Profile + Tweet + Temporal
IranImmortals,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
akhtar1989,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Asadi222Mehrdad,human(2),True,True,False,False,True,Profile + Tweet + Graph
Angel71as,human(2),True,True,True,True,False,Profile + Tweet + Temporal
RealAliJalali,News Agent(3),True,True,True,True,False,Profile + Tweet + Temporal
majidazarpey,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
ZaneSharghi1358,human(2),True,True,False,False,False,Profile + Tweet
hightesla,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
enferadi_shode,human(2),True,True,False,False,False,Profile + Tweet
Mahizadyaar,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
iranianpappppi3,human(2),True,True,True,True,False,Profile + Tweet + Temporal
MbShahnaz,human(2),True,True,True,True,False,Profile + Tweet + Temporal
