id,screen_name,following,created_at,default_profile,default_profile_image,description,fast_followers_count,favourites_count,followers_count,friends_count,has_custom_timelines,is_translator,listed_count,location,media_count,name,normal_followers_count,pinned_tweet_ids_str,possibly_sensitive,profile_image_url_https,profile_interstitial_type,statuses_count,translator_type,verified,want_retweets,profile_banner_url,url,verified_type,cluster_id,clean_description,user_age,follower_growth_rate,friends_growth_rate,hashtag_in_description,numbers_in_description,status_count,no_type_tweet,no_type_retweet_with_comment,no_type_reply,mean_no_media_per_tweet,mean_no_words,no_languages,mean_no_hashtags,mean_favourites_per_tweet,time_between_tweets,tweet_frequency,min_tweets_per_hour,min_tweets_per_day,max_tweets_per_hour,max_tweets_per_day,max_occurence_of_same_gap,unique_mention_rate_per_tweet,mean_user_mentions_per_tweet,retweet_as_tweet_rate,no_retweet_tweets,mean_retweets_per_tweet,Botometer Score,,"آیا دنبال‌شوندگان/دنبال‌کننده‌ها غیرعادی‌اند؟نسبت غیرمنطقی، فالوورهای فیک (ویژگی‌های شبکه‌ای و تعاملات (Network Features)
الگوهای ارتباطی و شبکه اجتماعی حساب‌ها:
•        نسبت فالوورها به فالووینگ:
o        دنبال‌کردن هزاران نفر و داشتن تعداد کمی فالوور.
o        یا برعکس: داشتن تعداد زیاد فالوور اما بدون تعامل واقعی.
•        خوشه‌های هماهنگ: چند حساب با هم توییت مشابه منتشر می‌کنند یا همزمان لایک/ری‌توئیت می‌کنند.
•        شبکه‌های مشابه: داشتن مجموعه‌ای مشابه از فالوورها یا فالووینگ‌ها.
•        Retweet farms: حساب‌هایی که صرفاً ری‌توئیت می‌کنند تا ترند مصنوعی بسازند.)","آیا محتوای توییت‌ها خودکار به‌نظر می‌رسد؟تکراری، تبلیغاتی، ماشینی (•        تکرار متن: پست‌های یکسان یا بسیار شبیه بین چند اکانت.
•        الگوهای ثابت: همه توییت‌ها یک ساختار دارند (لینک + هشتگ + ایموجی).
•        غلبه لینک: درصد زیادی از توییت‌ها شامل لینک هستند.
•        هشتگ‌های پرکاربرد: استفاده از ترندها برای جلب توجه، حتی اگر بی‌ارتباط باشند.
•        منشن گسترده: منشن کردن تعداد زیادی کاربر برای تبلیغ یا اسپم.
•        کیفیت زبانی:
o        زبان ماشینی یا ترجمه‌شده خودکار.
o        خطاهای عجیب یا یکنواختی بیش‌ازحد.
•        تنوع پایین واژگان: استفاده مکرر از واژه‌ها و عبارت‌های تکراری.)","آیا پروفایل واقعی به‌نظر می‌رسد؟عکس واقعی، بیوگرافی کامل، نام کاربری (
•        نام کاربری(username/handle):
o        وجود رشته‌های عددی طولانی (user12345678)
o        شباهت زیاد نام‌ها در چند حساب مختلف مثلاً iran_news01, iran_news02، ….
o        نام‌هایی بی‌معنی یا تصادفی (abc_45_klo)
•        تصویر پروفایل:
o        استفاده از تصویر پیش‌فرض یا avatar عمومی
o        تصاویر دزدیده‌شده یا تکراری می‌توان با جستجوی معکوس گوگل بررسی کرد.
o        کیفیت پایین یا غیرمرتبط (مثلاً لوگوی تصادفی).
•        بیو (Bio):
o        بیوهای خالی یا خیلی کوتاه.
o        بیوهای تکراری بین چند حساب (کپی/پیست).
o        استفاده از کلمات کلیدی مثل bot, feed, auto، یا فقط هشتگ.
•        تاریخ ایجاد حساب:
o        حساب‌های خیلی جدید که در همان روز/هفته صدها توییت می‌زنند.
o        موجی از حساب‌های جدید در بازه زمانی کوتاه.
•        لینک‌ها در پروفایل:
o        لینک‌های کوتاه‌شده (tinyurl) که مقصدشان تبلیغی یا مشکوک است.
o        تکرار یک دامنه در پروفایل چند حساب مشابه.)","آیا رفتار زمانی توییت‌ها طبیعی است؟ارسال نامنظم، در ساعات مختلف (فرکانس بالا: ارسال ده‌ها یا صدها توییت در روز.
•	پایداری زمانی: فعالیت ۲۴/۷ بدون استراحت (انسان نیاز به خواب دارد).
•	فواصل منظم: توییت‌ها دقیقاً در بازه‌های منظم (مثلاً هر 10 دقیقه).
•	انفجار فعالیت Burstiness : ناگهان در مدت کوتاه صدها پست منتشر می‌کنند.
•	زمان‌بندی نامعمول: کاربر فرضی ایرانی که همیشه در نیمه‌شب ایران فعال است.)","آیا تعامل با دیگران وجود دارد؟ریپلای، منشن، گفت‌وگو با کاربران (ویژگی‌های رفتاری در مکالمه (Conversational Features)
•        پاسخ‌دهی کم: حسابی که تقریباً هیچوقت جواب مستقیم نمی‌دهد.
•        پاسخ‌های ماشینی: جملات کلیشه‌ای و تکراری مثل ""Great post!"" یا ""Nice info""
•        تأخیر یکنواخت در پاسخ: مثلاً همیشه ۳ ثانیه بعد جواب می‌دهد.
•        نبود تعامل شخصی: اشاره نکردن به تجربیات فردی یا مکالمات واقعی.)",آیا توییت‌ها متنوع و طبیعی‌اند؟زبان انسانی، نظر شخصی، طنز، تعامل,آیا فرکانس استفاده از یک هشتگ زیاد است,LLM(ChatGPT),LLM(Gemini),Grok 4,listed_growth_rate,followers_friend_ratio,description_length,num_digits_in_name,num_digits_in_username,url_in_description,retweet_ratio,no_tweets_on_creation_day,no_tweets_on_creation_week,"class (1:bot, 2:human, 3:News Agent, 4:unverified)",tagger's name 2,Probe2,"class (1:bot, 2:human, 3:News Agent, 4:unverified)_1",Reason2,tagger's name 3,Probe3,"class (1:bot, 2:human, 3:News Agent, 4:unverified)_2",Reason3,فرکانس استفاده از یک هشتگ یکسان بالا است.,شباهت زیادی بین متن پست های کاربر هست.,فواصل زمانی منظم و یکسان بین ارسال پست ها,انفجار فعالیت ( ارسال تعداد پست زیاد در بازه زمانی یک ساعت),انفجار فعالیت ( ارسال تعداد پست زیاد در بازه زمانی یک روز),اغلب پست ها ریتوییت هستند,تعداد منشن بقیه کاربران زیاد است,تعداد حساب هایی که بیو های مشابه این کاربر دارند زیاد است,بیو حساب شامل اطلاعات شخصی است ( برای مثال اسم دانشگاه، مدرک تحصیلی ، نام محل کار و...) ( نیاز به بررسی دستی حساب ها یا استفاده از llm دارد),ارسال تعداد پست زیاد در روز ایجاد حساب,ارسال تعداد پست زیاد در هفته ایجاد حساب,نداشتن گفت و گو با بقیه کاربران ( گذاشتن ریپلای های متوالی به پست های یکدیگر),تصویر پروفایل واقعی باشد ( نیاز به بررسی دستی حساب ها دارد),برچسب نهایی
1.64083E+18,ahmad_313m,,2023-03-28T21:27:42+00:00,TRUE,FALSE,کوچکترین سرباز انقلاب,0,1157,5293,5,FALSE,FALSE,35,۱:۲۰,434,احمد مروارید,5293,['1874775105756336281'],FALSE,https://pbs.twimg.com/profile_images/1868351006955995137/h7Pa6ahi_normal.jpg,,3426,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/1640827963422670853/1734285893,,,1,کوچکترین سرباز انقلاب,739,7.162382,0.006766,0,0,3426,1,0,0,0,55,1,0,30,0,4.635995,1,1,1,1,1,0,0,3425,3425,3,1.3/5,,,,,,,,,,,,0.039194,1058.6,21,0,3,0,0.625,0,0,2,kargar,0.4,2,نام کاربری طبیعی/ فعالیت نرمال/ تعداد لایک نرمال/,ParhamTehrani,0.1,2,حجم فعالیت کم و طبیعی,0,0,0,0,0,0,0,0,0,0,0,1,,human(2)
1.16731E+18,samsarbazvatan,0,2019-08-30T05:55:04+00:00,TRUE,FALSE,"زندانی سیاسی سابق
 سرباز رضا شاه دوم پهلوی سوم  
#فرزندان_پرچم 
#پرچم_ملی_شیر_و_خورشید",0,18550,3059,958,TRUE,FALSE,16,,464,sam (ضد ا)🇮🇱🎗,3059,['1360561323583635462'],FALSE,https://pbs.twimg.com/profile_images/1215703182187409410/6ZTuTUj7_normal.png,,5470,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/1167314383866744837/1614098148,,,1,"زندانی سیاسی سابق
  سرباز رضا شاه دوم پهلوی سوم 
 فرزندان_پرچم 
 پرچم_ملی_شیر_و_خورشید",2045,1.495844,0.46846,1,0,5470,2,3,0,0.6,18,1,1,31,121544.2,2.674817,0,0,2,3,1,0,0,2732.5,5465,5.6,0.4/5,,,,,,,,,,,,0.007276,3.193111,86,0,0,0,0.495652,0,0,2,jalilinia,0.7,1,متن ها مشکوک هست / ویو کم به نسبت فالور ها / بدون تعامل با سایرین هست / استفاده از هشتگ یکسان در توییت ها ,Abbasgholi,0.5,1,آیدی و نام اکانت فیک، بیو بات گونه، سن حساب نسبتا زیاد، زمان بین توییت ها عادی,0,0,0,0,0,0,0,0,0,0,0,0,,bot(1)
9.08581E+17,cryptosamz,0,2017-09-15T06:39:06+00:00,TRUE,FALSE,Passionate about fighting against IRGC oppression in Iran & promoting the liberating potential of #Bitcoin. standing up for freedom on 2 fronts #IRGCterrorists,0,204386,62593,1571,TRUE,FALSE,248,Burkina Faso,3109,Uncle Sam - عموسام,62593,['1792311436644958245'],FALSE,https://pbs.twimg.com/profile_images/1673304882365734914/MVd9gXZV_normal.jpg,,46830,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/908580919132459008/1648898909,,,1,Passionate about fighting against IRGC oppression in Iran & promoting the liberating potential of Bitcoin. standing up for freedom on 2 fronts IRGCterrorists,2759,22.68684,0.569409,1,1,46830,2,0,0,1,40,1,3.5,240.5,183576,16.97354,0,0,1,1,1,0,0,23414,46828,10,0.4/5,,,,,,,1,,,,,0.085136,39.84278,159,0,0,0,0.521462,0,0,2,Jalilinia,0.2,2,دارای فعالیت انقجاری / بیو دارد /  ویو و لایک نرمال هست ,soltani,0,2,فحاشی  / لحن انسانی / تعامل بالا ,0,0,0,0,1,0,0,0,0,0,0,0,,human(2)
1.57772E+18,sepiedhia,0,2022-10-05T17:39:52+00:00,TRUE,FALSE,بانوی ایران زمین؛ کنجکاو و جستجوگر | پوزش بابت اشتباهات تایپی,0,67519,24540,595,TRUE,FALSE,63,در کنار تو,1381,Sepideh | سپیده بانو,24540,['1654588560639422465'],FALSE,https://pbs.twimg.com/profile_images/1682279637613780993/slL3Ol1P_normal.jpg,,6630,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/1577715113679020032/1710793744,,,1,بانوی ایران زمین؛ کنجکاو و جستجوگر | پوزش بابت اشتباهات تایپی,913,26.87842,0.651698,0,0,6630,27,1,2,1.064516,28.67742,1,1.612903,1811.484,2021054,7.261774,0,0,2,2,2,0.032258,0.032258,244.4444444,6600,385.6452,1.8/5,,,,,,,,,,,,0.059044,41.2437,61,0,0,0,0.231884,0,0,2,Abbasgholi,0.7,2,تعامل خیلی زیاد با بقیه کاربران، زمان خیلی زیاد بین توییت ها،,Vazifeh,0.1,2,با بقیه کاربران تعامل دارد/توئیت ها در زمان مشخصی زده نمیشوند / انفجار فعالیت ندارد/ لحن رفتار انسانی است/نرخ رشد و نسبت منطقی دارد,0,0,0,0,0,0,0,0,0,0,0,0,,human(2)
9.39381E+17,777Masiha,,2017-12-09T06:25:56+00:00,TRUE,FALSE,"Passionate Iranian standing up for Justice and freedom. Fighting for a better tomorrow 
🕊💪🏻
#womanLifeFreedom 
#KingRezaPahlavi
 #مهسا_امینی",0,20620,6956,4738,TRUE,FALSE,0,Iran,229,👑 Masiha 👑 𓄂𓆃 🎗️🐦,6956,[],FALSE,https://pbs.twimg.com/profile_images/1648674863811383296/nTghus0Y_normal.jpg,,14743,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/939380575076528130/1727755565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.46813,140,0,3,0,0.170732,0,0,4,Jalilinia,0.8,1,پست بالا / ویو کم / تعامل صعیف / فرکانس استفاده از یک هشتک بالا / بدون گفتن با سایرین ,kargar,0.6,1,نام کاربری شامل اعداد/ بیو مطابق ترند / استفاده بالا از هشتگ/ بدون تعامل با کاربران,1,0,0,0,0,0,0,0,0,0,0,1,,bot(1)
8.43178E+17,unikador,0,2017-03-18T19:09:23+00:00,TRUE,FALSE,"رسانه خبری تحلیلی یونیکا

https://t.co/oHCM4Cxxqo",0,671,24251,31,FALSE,FALSE,76,,13286,Unika News,24251,[],FALSE,https://pbs.twimg.com/profile_images/1265239625355988995/LectXYMd_normal.jpg,,15051,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/843177531431944195/1590491609,https://t.co/Zj9xIduauP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024564,782.2903,49,0,0,1,0.003226,0,0,2,Jalilinia,0.2,2,انفجار فعالیت ندارد/توئیت ها در فاصله ی زمانی مشخصی زده نمیشوند/ استفاده از یک هشتگ خاص بالا نیست/با بقیه کاربران تعامل دارد/اکثر پست ها ریتوییت نیستند/,kargar,0.4,3,رشد فالور ها زیاد/ استفاده زیاد از هشتگ/,0,0,0,0,0,0,0,0,0,0,0,0,,human(2)
1.25443E+18,ServinPooryamin,0,2020-04-26T15:13:45+00:00,TRUE,FALSE,حامی شاهزاده رضا پهلوی. ورود مجاهد، کمونیست و عرزشی⛔️#جاوید شاه#پاینده ایران#پرچم شیروخورشید,0,10443,8970,9,FALSE,FALSE,11,,1508,Servin Pooryamin 👑👑👑,8970,[],FALSE,https://pbs.twimg.com/profile_images/1758180392614449152/Aa4fOnpk_normal.jpg,,2529,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/1254428307757633536/1588430487,,,1,حامی شاهزاده رضا پهلوی. ورود مجاهد، کمونیست و عرزشیجاوید شاهپاینده ایرانپرچم شیروخورشید,1805,4.969529,0.004986,1,0,2529,131,0,0,1.238806,22.82836,3,2.604478,242.1866,759764.7,1.401108,0,0,2,3,4,0.029851,0.029851,18.30534351,2398,70.6791,0.8/5,,,,,,,,,,,,0.005615,996.6667,92,0,0,0,0.007692,0,0,4,Vazifeh,0.2,2,لحن انسانی دارد/عکس شخصی موجود است/با کاربران دیگر تعامل زیادی ندارد/نرخ و نسبت رشد و ... منطقی است,ParhamTehrani,0.2,2,تعامل کم |فعالیت طبیعی,0,0,0,0,0,0,0,0,0,0,0,1,,human(2)
1.71613E+18,HAXTAX0,0,2023-10-22T16:12:46+00:00,TRUE,FALSE,"🗡️مرزبان 🛡️
با همه سلاح هایتان به جنگ ما بیایید چون ما با هم ایمان مان به جنگ شما خواهیم آمد",0,34448,3055,2049,FALSE,FALSE,5,مرزهای عشق ,2176,🇮🇷Swordsman🏴,3055,['1725509169225007274'],FALSE,https://pbs.twimg.com/profile_images/1793237529128312833/d6lYwJt-_normal.jpg,,24089,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/1716125402500849664/1705934692,,,4,"مرزبان 
 با همه سلاح هایتان به جنگ ما بیایید چون ما با هم ایمان مان به جنگ شما خواهیم آمد",531,5.753296,3.858757,0,0,24089,1,0,0,1,17,1,2,28,0,45.36535,1,1,1,1,1,0,0,24088,24088,3,Error - Timeout,,,,,,,,,,,,0.007299,1.490971,92,0,1,0,0.049618,0,0,1,,0.2,2,لحن پیام ها انسانی است، داشتن تعامل با بقیه کاربران,Jalilinia,0.5,4,داده کافی در دیتاستت موجود نیست ,0,0,0,1,0,0,0,0,0,0,0,0,,can’t find
1567661118,mostafamehraeen,,2013-07-04T08:31:38+00:00,TRUE,FALSE,sociology of culture,0,9,19096,189,FALSE,FALSE,22,Iran,64,مصطفی مهرآیین,19096,[],FALSE,https://pbs.twimg.com/profile_images/1871663871712264193/cj-gqOK4_normal.jpg,,97,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/1567661118/1498244046,,,1,sociology of culture,4293,4.448171,0.044025,0,0,97,2,0,0,1,1,1,0,1124,435.5,0.022595,2,2,2,2,3,0,0,47.5,95,41,3.9/5,,,,,,,,,,,,0.004947,101.037,20,0,0,0,0.251012,0,0,2,Jalilinia,0.4,4,اکانت قدیمی / تعداد پست به نسبت فالور خیلی کم هست / اسم یوزرنیم نرمال / داده کافی توییت در دسترس نیست ,ParhamTehrani,0.1,2,فعالیت طبیعی| تعامل کاربران,0,0,0,0,0,0,0,0,0,0,0,0,,human(2)
1.35003E+18,shahira60210003,,2021-01-15T10:35:20+00:00,TRUE,FALSE,به نام او که چون رفت، ایران رفت...,0,87698,3486,3206,TRUE,FALSE,2,"Texas, USA",1119,Sarbaz e IRAN 👑,3486,['1723430034780590238'],FALSE,https://pbs.twimg.com/profile_images/1479118094060556290/wFQJx4Zw_normal.jpg,,4255,none,FALSE,FALSE,https://pbs.twimg.com/profile_banners/1350028591438974976/1709190389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00118,1.087336,34,0,8,0,0.521739,0,0,2,jalilinia,0.6,1,اعداد رندوم در اسکرین نیم / بدون تعامل هست / استفاده از هشنگ های یکسان / ,Abbasgholi,0.4,1,تعداد توییت ها منطقی، زمان بین توییت ها زیاد، آیدی و نام اکانت فیک، بیو بات گونه، سن حساب نسبتا کم،,0,0,0,0,0,0,0,0,0,0,0,1,,bot(1)
